org_profile_link,count_person,avg_word_length,median_word_length
/company/us-army?trk=ppro_cprof,36620,187.37198252321136,162
/company/ibm?trk=ppro_cprof,32292,191.32698501176762,167
/company/united-states-air-force?trk=ppro_cprof,26261,188.16994783138495,162
/company/us-navy?trk=ppro_cprof,26030,188.52024587014984,162
/company/bank-of-america?trk=ppro_cprof,24173,182.65660033922146,157
/company/hewlett-packard?trk=ppro_cprof,22949,189.0571702470696,164
/company/at&t?trk=ppro_cprof,20455,186.8690295771205,161
/company/jpmorgan-chase?trk=ppro_cprof,18804,180.19166134864923,154
/company/microsoft?trk=ppro_cprof,16341,188.5921914203537,164
/company/wells-fargo?trk=ppro_cprof,15945,182.0065851364064,157
/company/united-states-marine-corps?trk=ppro_cprof,15735,187.3111534795043,162
/company/deloitte?trk=ppro_cprof,14591,186.54437667055035,162
/company/pwc?trk=ppro_cprof,13918,188.06322747521196,164
/company/accenture?trk=ppro_cprof,13892,187.754822919666,164
/company/citi?trk=ppro_cprof,13515,183.9888272290048,158
/company/lockheed-martin?trk=ppro_cprof,12405,187.76041918581217,163
/company/oracle?trk=ppro_cprof,11843,189.775225871823,165
/company/pfizer?trk=ppro_cprof,11408,181.90795932678822,157
/company/target?trk=ppro_cprof,11017,174.4492148497776,148
/company/cisco?trk=ppro_cprof,10789,189.1441282788025,164
/company/sprint?trk=ppro_cprof,10451,182.7032819825854,157
/company/ernstandyoung?trk=ppro_cprof,10226,188.5281635047917,164
/company/dell?trk=ppro_cprof,10077,185.59928550163738,160
/company/apple?trk=ppro_cprof,8648,186.13829787234042,160
/company/walmart?trk=ppro_cprof,8482,179.03725536430088,153
/company/csc?trk=ppro_cprof,8362,190.08873475245156,166
/company/ge?trk=ppro_cprof,8347,185.79250029950882,160
/company/intel-corporation?trk=ppro_cprof,8229,188.4801312431644,162
/company/best-buy?trk=ppro_cprof,8090,177.05883807169346,153
/company/motorola-mobility?trk=ppro_cprof,8050,188.60633540372672,163
/company/northrop-grumman-corporation?trk=ppro_cprof,7866,187.35558098143912,164
/company/boeing?trk=ppro_cprof,7755,191.91940683430045,167
/company/merrill-lynch?trk=ppro_cprof,7381,192.12505080612382,169
/company/the-home-depot?trk=ppro_cprof,7250,181.30524137931033,156
/company/wellsfargo?trk=ppro_cprof,7243,181.06627088223112,155
/company/kpmg-us?trk=ppro_cprof,7129,187.87571889465562,164
/company/merck?trk=ppro_cprof,7050,181.96283687943261,157
/company/teksystems?trk=ppro_cprof,6948,184.64522164651697,159
/company/macy?trk=ppro_cprof,6923,176.2906254513939,150
/company/verizon?trk=ppro_cprof,6789,186.02887023125643,160
/company/xerox?trk=ppro_cprof,6514,187.29920171937366,161
